,taxon_link,taxon_oid,added,accessed,retrieved,filename,download_link,download_date,error,warning,error_msg,warning_msg
0,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708742788,2708742788,2018-03-21 18:19:08.093248,1,1, download_bundle.tar.gz 2708742788_download_bundle.tar.gz,,2018-03-21 18:45:47.517546,0,0,,
1,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2509276062,2509276062,2018-03-21 18:19:08.093248,1,1, 2509276062.tar.gz,,,0,1,,	Warning: File 2509276062.tar.gz already exists in the download directory. 
2,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2519899594,2519899594,2018-03-21 18:19:08.093248,2,0,,,,2,0,"Error: Could Not Retrieve Data. Link: 'https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2519899594'. 
Error: Could Not Retrieve Data. Link: 'https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2519899594'. 
",
3,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708742604,2708742604,2018-03-21 18:19:08.093248,1,1, download_bundle.tar.gz 2708742604_download_bundle.tar.gz,,2018-03-21 18:46:44.102296,0,0,,
4,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2626541945,2626541945,2018-03-21 18:19:08.093248,1,1, download_bundle.tar.gz 2626541945_download_bundle.tar.gz,,2018-03-21 18:47:13.920136,0,0,,
5,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2585427961,2585427961,2018-03-21 18:19:08.093248,0,0,,,,1,0,"Error: Could Not Retrieve Data. Link: 'https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2585427961'. 
",
6,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2724679818,2724679818,2018-03-21 18:19:08.093248,1,1, 2724679818.tar.gz,,2018-03-21 18:54:40.326735,0,0,,
7,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2540341245,2540341245,2018-03-21 18:19:08.093248,1,1, 2540341245.tar.gz,,,0,1,,	Warning: File 2540341245.tar.gz already exists in the download directory. 
8,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=648028043,648028043,2018-03-21 18:19:08.093248,1,0,,,,1,0,"Error: Could Not Retrieve Data. Link: 'https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=648028043'. 
",
9,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2523533595,2523533595,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
10,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2626542351,2626542351,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
11,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2523533581,2523533581,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
12,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2734482167,2734482167,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
13,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2684623285,2684623285,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
14,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=646311968,646311968,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
15,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2724679244,2724679244,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
16,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2264867061,2264867061,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
17,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2695420949,2695420949,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
18,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2626542039,2626542039,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
19,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2509276026,2509276026,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
20,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2626542427,2626542427,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
21,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2706794902,2706794902,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
22,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2713897519,2713897519,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
23,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708743043,2708743043,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
24,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2515154027,2515154027,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
25,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2651870337,2651870337,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
26,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2582580745,2582580745,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
27,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2509601028,2509601028,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
28,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2700988704,2700988704,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
29,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2731639222,2731639222,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
30,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2651870123,2651870123,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
31,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2698536689,2698536689,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
32,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2529293184,2529293184,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
33,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708742570,2708742570,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
34,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2756170310,2756170310,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
35,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2751185669,2751185669,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
36,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2506520046,2506520046,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
37,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2687453111,2687453111,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
38,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2767802133,2767802133,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
39,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2721755118,2721755118,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
40,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2509601038,2509601038,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
41,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708743073,2708743073,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
42,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2617270831,2617270831,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
