,taxon_link,taxon_oid,added,accessed,retrieved,filename,download_link,download_date,error,warning,warning_msg,error_msg
0,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005508,3300005508,2017-11-25 21:14:04.679564,1,1,65607.assembled.faa,https://genome.jgi.doe.gov/ETN01SMinimDraft_4/download/_JAMO/55c570cb0d87855594c29197/65607.assembled.faa,,0,1,Warning: File 65607.assembled.faa already exists in the download directory. ,
1,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001621,3300001621,2017-11-25 21:14:04.679564,1,1,16334.assembled.faa,https://genome.jgi.doe.gov/MicForSoiBWC17_O_3/download/_JAMO/529082f1067c013e2b06d320/16334.assembled.faa,,0,1,Warning: File 16334.assembled.faa already exists in the download directory. ,
2,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012988,3300012988,2017-11-25 21:14:04.679564,2,1,110213.assembled.faa,https://genome.jgi.doe.gov/Whisoiple_242_MG_2/download/_JAMO/587c35517ded5e4229d89601/110213.assembled.faa,,1,1,Warning: File 110213.assembled.faa already exists in the download directory. ,Error: Could Not Retrieve Data. Link: 'main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012988'. 
3,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005994,3300005994,2017-11-25 21:14:04.679564,1,1,70960.assembled.faa,https://genome.jgi.doe.gov/OrgsoiMinimDraft/download/_JAMO/5607dae70d878540fd6fb09e/70960.assembled.faa,,0,1,Warning: File 70960.assembled.faa already exists in the download directory. ,
4,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006864,3300006864,2017-11-25 21:14:04.679564,1,1,76335.assembled.faa,https://genome.jgi.doe.gov/PersoiMinimDraft_5/download/_JAMO/5674f3600d878518a8a37618/76335.assembled.faa,,0,1,Warning: File 76335.assembled.faa already exists in the download directory. ,
5,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006919,3300006919,2017-11-25 21:14:04.679564,1,1,77016.assembled.faa,https://genome.jgi.doe.gov/VirMetMinimDraft_2/download/_JAMO/567cb8b60d878518a8a3a7e9/77016.assembled.faa,,0,1,Warning: File 77016.assembled.faa already exists in the download directory. ,
6,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300000146,3300000146,2017-11-25 21:14:04.679564,1,1,3300000146.tar.gz,https://genome.jgi.doe.gov/SaaInl020811120m/download/_JAMO/52904c34067c013e2b067534/3300000146.tar.gz,,0,1,Warning: File 3300000146.tar.gz already exists in the download directory. ,
7,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300017413,3300017413,2017-11-25 21:14:04.679564,1,1,128381.assembled.faa,https://genome.jgi.doe.gov/G6R1MG_83/download/_JAMO/590c53347ded5e1e49ff628d/128381.assembled.faa,,0,1,Warning: File 128381.assembled.faa already exists in the download directory. ,
8,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005453,3300005453,2017-11-25 21:14:04.679564,1,1,65631.assembled.faa,https://genome.jgi.doe.gov/YNPMSStandDraft/download/_JAMO/55b7d2aa0d87855594c239bb/65631.assembled.faa,,0,1,Warning: File 65631.assembled.faa already exists in the download directory. ,
9,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300018086,3300018086,2017-11-25 21:14:04.679564,1,1,133140.assembled.faa,https://genome.jgi.doe.gov/0116_SJ02_MP02_1_3/download/_JAMO/5939a4d97ded5e4e5bbc0798/133140.assembled.faa,,0,1,Warning: File 133140.assembled.faa already exists in the download directory. ,
10,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009609,3300009609,2017-11-25 21:14:04.679564,1,1,89677.assembled.faa,https://genome.jgi.doe.gov/EasRivMeERMLT890_2/download/_JAMO/576425a47ded5e34d828a313/89677.assembled.faa,,0,1,Warning: File 89677.assembled.faa already exists in the download directory. ,
11,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001986,3300001986,2017-11-25 21:14:04.679564,1,1,22297.assembled.faa,https://genome.jgi.doe.gov/APYel6154241908/download/_JAMO/52908fab067c013e2b06ee48/22297.assembled.faa,,0,1,Warning: File 22297.assembled.faa already exists in the download directory. ,
12,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300000085,3300000085,2017-11-25 21:14:04.679564,2,2,59105.assembled.faa 61371.assembled.faa,https://genome.jgi.doe.gov/Uncmi_3300000085/download/_JAMO/556fa5da0d878529e7cade37/59105.assembled.faa,,0,7,Warning: File 61371.assembled.faa already exists in the download directory. Warning: File 59105.assembled.faa already exists in the download directory. Warning: Multiple download files present. Warning: File 59105.assembled.faa already exists in the download directory. Warning: File 59105.assembled.faa already exists in the download directory. Warning: Multiple download files present. Warning: File 59105.assembled.faa already exists in the download directory. ,
13,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300017540,3300017540,2017-11-25 21:14:04.679564,1,1,128521.assembled.faa,https://genome.jgi.doe.gov/eDN3rd3BELigOPv2/download/_JAMO/590e41c57ded5e1e49ffaf2a/128521.assembled.faa,2017-11-25 23:32:25.888715,0,0,,
14,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012865,3300012865,2017-11-25 21:14:04.679564,1,1,108216.assembled.faa,https://genome.jgi.doe.gov/HID1975I_E1MG_2/download/_JAMO/585422a87ded5e78cff8c185/108216.assembled.faa,,0,1,Warning: File 108216.assembled.faa already exists in the download directory. ,
15,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012884,3300012884,2017-11-25 21:14:04.679564,1,1,108405.assembled.faa,https://genome.jgi.doe.gov/NitcycUS073202C2_2/download/_JAMO/585a40017ded5e78cff8f8ea/108405.assembled.faa,,0,1,Warning: File 108405.assembled.faa already exists in the download directory. ,
16,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300005656,3300005656,2017-11-25 21:14:04.679564,1,1,66667.assembled.faa,https://genome.jgi.doe.gov/KloWWTStandDraft_5/download/_JAMO/55e2f3940d878556782db036/66667.assembled.faa,,0,1,Warning: File 66667.assembled.faa already exists in the download directory. ,
17,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300001060,3300001060,2017-11-25 21:14:04.679564,1,1,13217.assembled.faa,https://genome.jgi.doe.gov/DeeseametaMP0103_4/download/_JAMO/529064c4067c013e2b06a62b/13217.assembled.faa,,0,1,Warning: File 13217.assembled.faa already exists in the download directory. ,
18,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300017384,3300017384,2017-11-25 21:14:04.679564,2,1,128052.assembled.faa,https://genome.jgi.doe.gov/JTOmetSPassembly_3/download/_JAMO/590c1acd7ded5e1e49ff5f39/128052.assembled.faa,2017-11-25 23:48:02.018664,1,0,,Error: Could not download data. Link: 'https://genome.jgi.doe.gov/JTOmetSPassembly_3/download/_JAMO/590c1acd7ded5e1e49ff5f39/128052.assembled.faa'. 
19,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009594,3300009594,2017-11-25 21:14:04.679564,1,1,89580.assembled.faa,https://genome.jgi.doe.gov/DevilsHole_2/download/_JAMO/5763a1347ded5e34d828a10c/89580.assembled.faa,,0,1,Warning: File 89580.assembled.faa already exists in the download directory. ,
20,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300012262,3300012262,2017-11-25 21:14:04.679564,1,1,104935.assembled.faa,https://genome.jgi.doe.gov/AntDeeMetagen680_2/download/_JAMO/5842b76c7ded5e2d305c81cf/104935.assembled.faa,,0,1,Warning: File 104935.assembled.faa already exists in the download directory. ,
21,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300006927,3300006927,2017-11-25 21:14:04.679564,1,1,77062.assembled.faa,https://genome.jgi.doe.gov/2_EtaG_2/download/_JAMO/567e1d5c0d878518a8a3c39a/77062.assembled.faa,,0,1,Warning: File 77062.assembled.faa already exists in the download directory. ,
22,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=3300009655,3300009655,2017-11-25 21:14:04.679564,1,1,89808.assembled.faa,https://genome.jgi.doe.gov/AD_JPNTR4_MetaG_2/download/_JAMO/5766645d7ded5e34d828f2d9/89808.assembled.faa,,0,1,Warning: File 89808.assembled.faa already exists in the download directory. ,
