taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2708742788	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Fraserbacteria bacterium RBG_16_55_9	DOE Joint Genome Institute (JGI)	2708742788	1955059	2423
2509276062	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Solitalea canadensis USAM 9D, DSM 3403	DOE Joint Genome Institute (JGI)	2509276062	5202069	4490
2519899594	Bacteria	Permanent Draft	Cecembia lonarensis LW9	Cecembia lonarensis LW9	Centre for Cellular and Molecular Biology (CCMB)	2519899594	4842844	4259
2708742604	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Candidatus Colwellbacteria bacterium GWA2_46_10	DOE Joint Genome Institute (JGI)	2708742604	507262	656
2626541945	Bacteria	Draft	Soil microbial communities from Rifle, Colorado, USA	Parcubacteria (Uhrbacteria) bacterium GW2011_GWA2_41_10	DOE Joint Genome Institute (JGI)	2626541945	575728	600
2585427961	Bacteria	Permanent Draft	Anditalea andensis strain:LY1 Genome sequencing	Anditalea andensis LY1	Singapore Centre on Environmental Life Sciences Engineering (SCELSE)	2585427961	5429412	4385
2724679818	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Venenivibrio stagnispumantis DSM 18763	DOE Joint Genome Institute (JGI)	2724679818	1561122	1708
2540341245	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Sporocytophaga myxococcoides DSM 11118	DOE Joint Genome Institute (JGI)	2540341245	6426282	5286
648028043	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Mobiluncus curtisii ATCC 43063	Baylor College of Medicine	648028043	2146480	1965
2523533595	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Thermonema rossianum DSM 10300	DOE Joint Genome Institute (JGI)	2523533595	2956866	2654
2626542351	Bacteria	Permanent Draft	Soil microbial communities from Rifle, Colorado, USA	Parcubacteria (Adlerbacteria) bacterium GW2011_GWA1_54_10	DOE Joint Genome Institute (JGI)	2626542351	596207	693
2523533581	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Gryllotalpicola ginsengisoli DSM 22003	DOE Joint Genome Institute (JGI)	2523533581	2944984	2815
2734482167	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Amnibacterium kyonggiense DSM 24782	DOE Joint Genome Institute (JGI)	2734482167	3709865	3700
2684623285	Bacteria	Permanent Draft	Avena fatua rhizosphere microbial communities from Hopland, California, USA	Sporichthyaceae bacterium JGI 012 (unscreened)	DOE Joint Genome Institute (JGI)	2684623285	167983	191
646311968	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Xylanimonas cellulosilytica XIL07, DSM 15894	DOE Joint Genome Institute (JGI)	646311968	3831380	3549
2724679244	Bacteria	Permanent Draft	Genome sequencing of potential secondary metabolite producers	Herbidospora cretacea NBRC 15474	National Institute of Technology and Evaluation Biological Resource Center	2724679244	8282092	7511
2264867061	Bacteria	Permanent Draft	GEBA-MDM	Aerophobus bacterium SCGC AAA252-L23 (contamination screened) (SAK_001_70)	DOE Joint Genome Institute (JGI)	2264867061	2305959	2418
2695420949	Bacteria	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Jatrophihabitans endophyticus DSM 45627	DOE Joint Genome Institute (JGI)	2695420949	4480046	4272
