taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2524614563	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Eremococcus coleocola DSM 15696	DOE Joint Genome Institute (JGI)	2524614563	1869643	1898
2506520015	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Sulfobacillus acidophilus NAL, DSM 10332"	DOE Joint Genome Institute (JGI)	2506520015	3557831	3695
2563366580	Bacteria	Finished	Carnobacterium inhibens subsp. gilichinskyi WN1359	Carnobacterium inhibens subsp. gilichinskyi WN1359	University of Florida	2563366580	2497115	2376
2770939513	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Streptohalobacillus salinus DSM 22440	DOE Joint Genome Institute (JGI)	2770939513	2529324	2399
2585428141	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Pilibacter termitis ATCC BAA-1030	DOE Joint Genome Institute (JGI)	2585428141	2794241	2624
2751185706	Bacteria	Permanent Draft	Brochothrix campestris FSL F6-1037	Brochothrix campestris FSL F6-1037	Cornell University	2751185706	2342904	2657
646564509	Bacteria	Finished	Arsenic/Bacillus/Clostridium	Bacillus selenitireducens MLS10	DOE Joint Genome Institute (JGI)	646564509	3592487	3420
2531839001	Bacteria	Permanent Draft	Crocosphaera watsonii WH 0003	Crocosphaera watsonii WH 0003	"University of California, Santa Cruz"	2531839001	5890504	6166
2651869842	Bacteria	Finished	Complete genome sequence of Lactobacillus acetotolerans NBRC 13120	Lactobacillus acetotolerans NBRC 13120	National Institute of Technology and Evaluation	2651869842	1704859	1757
2524023160	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Desulfovirgula thermocuniculi DSM 16036	DOE Joint Genome Institute (JGI)	2524023160	3062341	3355
2703719248	Bacteria	Finished	Andreesenia angusta MK-1	Andreesenia angusta MK-1 (EUAN)	Goettingen Genomics Laboratory	2703719248	2343503	2452
2756170274	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Murimonas intestini DSM 26524	DOE Joint Genome Institute (JGI)	2756170274	5754343	4947
650377942	Bacteria	Finished	Fibrobacter succinogenes succinogenes S85	Fibrobacter succinogenes S85	J. Craig Venter Institute (JCVI)	650377942	3843004	2939
2576861455	Bacteria	Finished	Gemmatimonadetes bacterium KBS708	Gemmatimonadetes bacterium KBS708	University of Tennessee	2576861455	7479215	6423
2518285615	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Anaeromusa acidaminophila DSM 3853	DOE Joint Genome Institute (JGI)	2518285615	3477494	3393
2757320871	Bacteria	Finished	Genome sequencing of Christensenella massiliensis Marseille-P2438	Christensenella massiliensis Marseille-P2438	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2757320871	2560186	2497
2770939561	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Dielma fastidiosa DSM 26099	DOE Joint Genome Institute (JGI)	2770939561	3580248	3545
2619618821	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Trichococcus collinsii DSM 14526	DOE Joint Genome Institute (JGI)	2619618821	3174439	3088
2511231101	Bacteria	Finished	Lactococcus garvieae ATCC 49156	Lactococcus garvieae sv. KG+	Kitasato University	2511231101	1950135	2024
2509601026	Bacteria	Permanent Draft	GEBA-PCC	Nodosilinea nodulosa PCC 7104	DOE Joint Genome Institute (JGI)	2509601026	6891283	6470
2537561904	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Alloiococcus otitis ATCC 51267	Broad Institute	2537561904	1784056	1691
2585428066	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Anaerosphaera aminiphila DSM 21120	DOE Joint Genome Institute (JGI)	2585428066	2021907	1962
2563366762	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Aneurinibacillus aneurinilyticus ATCC 12856	Washington University in St. Louis	2563366762	5302959	6261
637000316	Bacteria	Finished	Methanogenic Syntropic Consortium	"Syntrophomonas wolfei Goettingen, DSM 2245B"	DOE Joint Genome Institute (JGI)	637000316	2936195	2677
2728369642	Bacteria	Permanent Draft	Genome sequencing of Halolactibacillus sp. JCM 19043	Halolactibacillus sp. JCM 19043	RIKEN	2728369642	3160389	3707
2757320859	Bacteria	Finished	Genome sequencing of Macrococcus canis KM45013	Macrococcus canis KM45013	University of Berne	2757320859	2363414	2525
651324002	Bacteria	Permanent Draft	Acetonema longum DSM 6540	"Acetonema longum APO-1, DSM 6540"	California Institute of Technology	651324002	4323011	4347
2524023159	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Atopococcus tabaci DSM 17538	DOE Joint Genome Institute (JGI)	2524023159	2269053	2432
646564525	Bacteria	Finished	"Deferribacter desulfuricans SSM1, DSM 14783"	Deferribacter desulfuricans SSM1	National Institute of Technology and Evaluation	646564525	2542933	2425
2687453458	Bacteria	Finished	Complete genome sequence of Leptolyngbya sp. NIES-3755	Leptolyngbya sp. NIES-3755	Toyohashi University of Technology	2687453458	6761657	6729
2690315921	Bacteria	Permanent Draft	Roseimaritima ulvae DSM 25454 genome sequencing	Roseimaritima ulvae DSM 25454	University of Porto	2690315921	8112769	5883
2627854193	Bacteria	Permanent Draft	Ornithinibacillus californiensis strain:DSM 16628 Genome sequencing	Ornithinibacillus californiensis DSM 16628	Zhejiang University	2627854193	3979837	4182
2531839654	Bacteria	Permanent Draft	Nitrospina gracilis 3/211	Nitrospina gracilis 3/211	University of Vienna	2531839654	3067213	3016
2504643012	Bacteria	Finished	GEBA-PCC	Pseudanabaena sp. PCC 7367	DOE Joint Genome Institute (JGI)	2504643012	4885680	4015
637000236	Bacteria	Finished	Rhodopirellula genome sequencing - Max Planck Institute for Marine Microbiology	Rhodopirellula baltica SH 1	Max Planck Institute	637000236	7145576	7414
2713896874	Bacteria	Permanent Draft	Oxobacter pfennigii DSM 3222 Genome sequencing and assembly	Oxobacter pfennigii DSM 3222	"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory"	2713896874	4502030	4402
2757320697	Bacteria	Finished	Genome sequencing of Candidatus Promineofilum breve Cfx-K	Candidatus Promineofilum breve Cfx-K	Aalborg University	2757320697	5033966	4299
2756170264	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Lachnotalea glycerini DSM 28816	DOE Joint Genome Institute (JGI)	2756170264	4864689	4429
2630968752	Bacteria	Permanent Draft	Comparative analysis of Jeotgalibacillus strains - Universiti Teknologi Malaysia	Jeotgalibacillus alimentarius YKJ-13	"University of Technology, Malaysia"	2630968752	3364745	3564
2582580929	Bacteria	Permanent Draft	Youngiibacter fragile 232.1	Youngiibacter fragile 232.1	University of Oklahoma	2582580929	3988233	3783
640427111	Bacteria	Finished	Dehalococcoides sp. Strain BAV1	Dehalococcoides mccartyi BAV1	DOE Joint Genome Institute (JGI)	640427111	1341892	1443
2588253851	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Mageeibacillus indolicus 0009-5 S7-24-11	J. Craig Venter Institute (JCVI)	2588253851	1734508	1251
650377919	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Butyrivibrio fibrisolvens 16/4	Wellcome Trust Sanger Institute	650377919	3164379	2966
2546825536	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Atopobacter phocae ATCC BAA-285	DOE Joint Genome Institute (JGI)	2546825536	1668359	1658
2513237300	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Anaeroglobus geminatus F0357	Washington University in St. Louis	2513237300	1794202	2198
2706795015	Bacteria	Permanent Draft	Biogas fermentation microbial communities from biogas plants in Germany	Natranaerobiales bacterium JGI 000176CP_D07 (unscreened)	DOE Joint Genome Institute (JGI)	2706795015	275410	300
2675903671	Bacteria	Permanent Draft	Tepidibacillus decaturensis Z9 Genome sequencing	Tepidibacillus decaturensis Z9	"University of Illinois, Urbana-Champaign"	2675903671	2963953	2993
2756170243	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Agathobaculum butyriciproducens DSM 100391	DOE Joint Genome Institute (JGI)	2756170243	2809383	2648
2648501379	Bacteria	Permanent Draft	Robinsoniella peoriensis WT Genome sequencing	Robinsoniella peoriensis WT	Gateway Technical College	2648501379	7391415	5953
2524614802	Bacteria	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Lachnospira multipara ATCC 19207	DOE Joint Genome Institute (JGI)	2524614802	2871860	2612
